Gauge[mm],Volume[m3]
1423.0,2285.881
1424.0,2287.556
1425.0,2289.231
1426.0,2290.905
1427.0,2292.58
1428.0,2294.255
1429.0,2295.929
1430.0,2297.604
1431.0,2299.28
1432.0,2300.955
1433.0,2302.631
1434.0,2304.307
1435.0,2305.983
1436.0,2307.658
1437.0,2309.334
1438.0,2311.01
1439.0,2312.685
1440.0,2314.361
1441.0,2316.038
1442.0,2317.714
1443.0,2319.391
1444.0,2321.068
1445.0,2322.745
1446.0,2324.421
1447.0,2326.098
1448.0,2327.775
1449.0,2329.451
1450.0,2331.128
1451.0,2332.806
1452.0,2334.483
1453.0,2336.161
1454.0,2337.838
1455.0,2339.516
1456.0,2341.193
1457.0,2342.871
1458.0,2344.548
1459.0,2346.226
1460.0,2347.903
1461.0,2349.582
1462.0,2351.26
1463.0,2352.939
1464.0,2354.617
1465.0,2356.296
1466.0,2357.975
1467.0,2359.653
1468.0,2361.332
1469.0,2363.01
1470.0,2364.689
1471.0,2366.369
1472.0,2368.048
1473.0,2369.728
1474.0,2371.407
1475.0,2373.087
1476.0,2374.766
1477.0,2376.446
1478.0,2378.125
1479.0,2379.805
1480.0,2381.484
1481.0,2383.165
1482.0,2384.845
1483.0,2386.526
1484.0,2388.206
1485.0,2389.887
1486.0,2391.567
1487.0,2393.248
1488.0,2394.928
1489.0,2396.609
1490.0,2398.289
1491.0,2399.97
1492.0,2401.652
1493.0,2403.333
1494.0,2405.015
1495.0,2406.696
1496.0,2408.377
1497.0,2410.059
1498.0,2411.74
1499.0,2413.422
1500.0,2415.103
1501.0,2416.785
1502.0,2418.468
1503.0,2420.15
1504.0,2421.833
1505.0,2423.515
1506.0,2425.197
1507.0,2426.88
1508.0,2428.562
1509.0,2430.245
1510.0,2431.927
1511.0,2433.61
1512.0,2435.294
1513.0,2436.977
1514.0,2438.66
1515.0,2440.344
1516.0,2442.027
1517.0,2443.71
1518.0,2445.393
1519.0,2447.077
1520.0,2448.76
1521.0,2450.444
1522.0,2452.129
1523.0,2453.813
1524.0,2455.497
1525.0,2457.182
1526.0,2458.866
1527.0,2460.55
1528.0,2462.234
1529.0,2463.919
1530.0,2465.603
1531.0,2467.288
1532.0,2468.973
1533.0,2470.659
1534.0,2472.344
1535.0,2474.029
1536.0,2475.714
1537.0,2477.399
1538.0,2479.085
1539.0,2480.77
1540.0,2482.455
1541.0,2484.141
1542.0,2485.827
1543.0,2487.514
1544.0,2489.2
1545.0,2490.886
1546.0,2492.572
1547.0,2494.258
1548.0,2495.945
1549.0,2497.631
1550.0,2499.317
1551.0,2501.004
1552.0,2502.691
1553.0,2504.379
1554.0,2506.066
1555.0,2507.753
1556.0,2509.44
