date,apparent_temperature,pressure_msl,wind_speed_10m,sea_surface_temperature
2026-06-10 02:00:00+00:00,21.129278,1019.8,3,22.35
2026-06-10 03:00:00+00:00,21.070919,1019.2,3,22.3
2026-06-10 04:00:00+00:00,20.971786,1019.1,4,22.3
2026-06-10 05:00:00+00:00,21.346584,1018.5,3,22.3
2026-06-10 06:00:00+00:00,21.138132,1018.9,3,22.3
2026-06-10 07:00:00+00:00,21.32956,1018.8,3,22.3
2026-06-10 08:00:00+00:00,21.644596,1018.7,3,22.3
2026-06-10 09:00:00+00:00,21.555914,1019.4,3,22.3
2026-06-10 10:00:00+00:00,21.431534,1019.8,3,22.35
2026-06-10 11:00:00+00:00,21.310675,1020.0,3,22.35
2026-06-10 12:00:00+00:00,21.973148,1019.4,3,22.35
2026-06-10 13:00:00+00:00,22.185207,1018.6,3,22.35
2026-06-10 14:00:00+00:00,21.98292,1017.9,3,22.35
2026-06-10 15:00:00+00:00,21.892982,1018.1,3,22.4
2026-06-10 16:00:00+00:00,22.164028,1018.2,3,22.4
2026-06-10 17:00:00+00:00,22.377304,1018.4,3,22.4
2026-06-10 18:00:00+00:00,21.941708,1018.8,3,22.4
2026-06-10 19:00:00+00:00,21.835144,1019.5,3,22.4
2026-06-10 20:00:00+00:00,22.407196,1019.6,2,22.4
2026-06-10 21:00:00+00:00,22.704874,1019.6,2,22.35
2026-06-10 22:00:00+00:00,22.751846,1019.8,2,22.35
2026-06-10 23:00:00+00:00,22.195219,1020.0,2,22.3
2026-06-11 00:00:00+00:00,18.014198,1018.4,3,21.0
2026-06-11 01:00:00+00:00,17.830564,1018.6,3,21.0
2026-06-11 02:00:00+00:00,17.996933,1018.4,3,21.0
2026-06-11 03:00:00+00:00,17.976513,1018.0,3,20.95
2026-06-11 04:00:00+00:00,17.035416,1018.2,4,20.95
2026-06-11 05:00:00+00:00,16.659353,1018.6,4,20.95
2026-06-11 06:00:00+00:00,16.54276,1019.8,4,20.95
2026-06-11 07:00:00+00:00,17.11345,1020.2,3,20.95
2026-06-11 08:00:00+00:00,16.541267,1020.4,4,20.95
2026-06-11 09:00:00+00:00,16.576147,1021.4,4,21.0
2026-06-11 10:00:00+00:00,16.400915,1022.1,4,21.0
2026-06-11 11:00:00+00:00,16.201632,1022.2,4,21.0
2026-06-11 12:00:00+00:00,16.617596,1022.0,3,21.0
2026-06-11 13:00:00+00:00,15.822447,1021.6,4,21.0
2026-06-11 14:00:00+00:00,15.363823,1021.6,4,21.0
2026-06-11 15:00:00+00:00,14.625998,1021.9,4,21.0
2026-06-11 16:00:00+00:00,14.533087,1022.4,4,20.95
2026-06-11 17:00:00+00:00,14.340359,1023.2,4,20.95
2026-06-11 18:00:00+00:00,14.762043,1023.6,4,20.95
2026-06-11 19:00:00+00:00,14.899126,1024.4,4,20.95
2026-06-11 20:00:00+00:00,14.82835,1024.8,4,20.95
2026-06-11 21:00:00+00:00,15.09951,1024.9,4,20.95
2026-06-11 22:00:00+00:00,15.261036,1025.3,4,20.95
2026-06-11 23:00:00+00:00,15.065735,1025.3,4,20.95
2026-06-11 23:00:00+00:00,15.065735,1025.3,4,18.55
2026-06-12 00:00:00+01:00,12.538189,1023.1,4,20.95
2026-06-12 00:00:00+01:00,12.538189,1023.1,4,18.55
2026-06-12 01:00:00+01:00,12.083412,1023.2,5,18.55
2026-06-12 02:00:00+01:00,12.189772,1023.3,5,18.55
